district,total,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked,Males: Total,Males: Part-time: 15 hours or less worked,Males: Part-time: 16 to 30 hours worked,Males: Full-time: 31 to 48 hours worked,Males: Full-time: 49 or more hours worked,Females: Total,Females: Part-time: 15 hours or less worked,Females: Part-time: 16 to 30 hours worked,Females: Full-time: 31 to 48 hours worked,Females: Full-time: 49 or more hours worked
St Albans,71378,7411,12198,38883,12886,38046,2074,2967,23266,9739,33332,5337,9231,15617,3147
Stevenage,42738,3763,7699,26580,4696,22608,1190,1762,15971,3685,20130,2573,5937,10609,1011
Three Rivers,43999,4452,7808,24681,7058,23202,1219,1820,14754,5409,20797,3233,5988,9927,1649
Watford,47634,4133,7863,29683,5955,25454,1373,2258,17441,4382,22180,2760,5605,12242,1573
Welwyn Hatfield,52981,6354,9380,30270,6977,28016,2142,2391,18090,5393,24965,4212,6989,12180,1584
Breckland,61301,6142,11784,33755,9620,33117,1658,2709,20851,7899,28184,4484,9075,12904,1721
Broadland,61541,6867,13076,33616,7982,32512,1813,2849,21345,6505,29029,5054,10227,12271,1477
Great Yarmouth,41264,4375,9693,21806,5390,21955,1218,2543,13702,4492,19309,3157,7150,8104,898
King`s Lynn and West Norfolk,67268,6841,13313,37137,9977,36131,1890,3078,23165,7998,31137,4951,10235,13972,1979
North Norfolk,43183,5122,9384,22359,6318,23025,1422,2608,14017,4978,20158,3700,6776,8342,1340
Norwich,62424,7139,12223,36390,6672,32923,2479,3715,21803,4926,29501,4660,8508,14587,1746
South Norfolk,60333,6847,12149,32039,9298,31755,1832,2743,19804,7376,28578,5015,9406,12235,1922
Babergh,42250,4938,8266,22511,6535,22553,1320,1879,14156,5198,19697,3618,6387,8355,1337
Forest Heath,31540,2577,4781,18456,5726,17679,724,1142,11282,4531,13861,1853,3639,7174,1195
Ipswich,65479,6601,13433,38292,7153,35051,1941,3239,24133,5738,30428,4660,10194,14159,1415
Mid Suffolk,48570,5831,9310,25412,8017,26220,1413,1960,16275,6572,22350,4418,7350,9137,1445
St Edmundsbury,56483,5740,10544,31973,8226,30514,1673,2344,19849,6648,25969,4067,8200,12124,1578
Suffolk Coastal,58257,7354,11876,30154,8873,30981,2038,2674,19118,7151,27276,5316,9202,11036,1722
Waveney,49181,5895,11128,25687,6471,26061,1559,2642,16532,5328,23120,4336,8486,9155,1143
Camden,108966,9690,15239,58926,25111,57653,3663,6276,30936,16778,51313,6027,8963,27990,8333
City of London,4747,260,418,2252,1817,2883,137,190,1295,1261,1864,123,228,957,556
Hackney,118556,9974,22546,67993,18043,61808,4249,9548,36285,11726,56748,5725,12998,31708,6317
Hammersmith and Fulham,99618,7074,12156,57191,23197,51215,2785,4334,28759,15337,48403,4289,7822,28432,7860
Haringey,124296,10893,23865,72247,17291,65576,4363,9571,39829,11813,58720,6530,14294,32418,5478
Islington,106765,7790,14494,61581,22900,55698,3123,5416,32327,14832,51067,4667,9078,29254,8068
Kensington and Chelsea,81387,5949,10015,36875,28548,44770,2245,3765,18966,19794,36617,3704,6250,17909,8754
Lambeth,166494,11298,23883,102572,28741,87062,4457,8586,54747,19272,79432,6841,15297,47825,9469
Lewisham,136057,11762,24660,82036,17599,69753,4564,8598,44485,12106,66304,7198,16062,37551,5493
Newham,132454,14697,29883,75272,12602,78478,7872,15916,45279,9411,53976,6825,13967,29993,3191
Southwark,147388,11455,23310,86853,25770,77077,4456,8449,46737,17435,70311,6999,14861,40116,8335
Tower Hamlets,120873,9895,20014,67532,23432,70041,4597,11151,38207,16086,50832,5298,8863,29325,7346
Wandsworth,178582,11290,21047,106837,39408,91012,4000,7297,53745,25970,87570,7290,13750,53092,13438
Westminster,111179,7640,13917,54879,34743,62641,3202,6224,29136,24079,48538,4438,7693,25743,10664
Barking and Dagenham,75217,6745,15078,46263,7131,40277,2317,5013,27319,5628,34940,4428,10065,18944,1503
Barnet,170658,17500,31467,95329,26362,90085,5854,10639,54013,19579,80573,11646,20828,41316,6783
Bexley,110159,10148,20235,66690,13086,57318,2965,4815,39285,10253,52841,7183,15420,27405,2833
Brent,147461,13578,27679,87987,18217,80561,5715,11486,50227,13133,66900,7863,16193,37760,5084
Bromley,151368,14237,26162,88330,22639,78416,4133,6572,50774,16937,72952,10104,19590,37556,5702
Croydon,172987,15215,31605,105866,20301,89773,5369,9783,59765,14856,83214,9846,21822,46101,5445
Ealing,164820,13592,27512,101193,22523,90013,5188,10788,57800,16237,74807,8404,16724,43393,6286
Enfield,137622,13616,28540,79245,16221,72313,5188,10692,44548,11885,65309,8428,17848,34697,4336
Greenwich,117821,10420,21222,69660,16519,62676,3960,7307,39517,11892,55145,6460,13915,30143,4627
Harrow,113900,10835,21103,67397,14565,61833,3731,7387,39716,10999,52067,7104,13716,27681,3566
Havering,112846,10760,20158,67861,14067,59597,2920,4904,40503,11270,53249,7840,15254,27358,2797
Hillingdon,130290,12259,22475,79923,15633,70127,4401,6890,46745,12091,60163,7858,15585,33178,3542
Hounslow,127032,10703,21169,78585,16575,69965,4192,7981,45688,12104,57067,6511,13188,32897,4471
Kingston upon Thames,81957,8460,13695,47188,12614,43316,2873,4207,27130,9106,38641,5587,9488,20058,3508
Merton,104822,8316,16848,63103,16555,55906,2972,5782,35258,11894,48916,5344,11066,27845,4661
Redbridge,124692,11817,23842,73182,15851,68668,4552,9152,43161,11803,56024,7265,14690,30021,4048
Richmond upon Thames,99204,8813,14668,54424,21299,52434,2817,4106,30316,15195,46770,5996,10562,24108,6104
Sutton,97658,8632,16973,59518,12535,51003,2630,4447,34511,9415,46655,6002,12526,25007,3120
Waltham Forest,121021,10793,23069,73926,13233,65849,4443,9331,42564,9511,55172,6350,13738,31362,3722
Bracknell Forest,61914,5272,9680,37139,9823,32823,1544,2096,21685,7498,29091,3728,7584,15454,2325
Brighton and Hove,139823,15403,28766,78731,16923,73383,5509,9242,46644,11988,66440,9894,19524,32087,4935
Isle of Wight,59299,6470,14402,31938,6489,30678,2063,4085,19821,4709,28621,4407,10317,12117,1780
Medway,126689,12260,23004,74156,17269,68115,3483,5194,45408,14030,58574,8777,17810,28748,3239
Milton Keynes,127783,10506,21119,79695,16463,67910,3349,4977,46998,12586,59873,7157,16142,32697,3877
Portsmouth,96619,10493,18812,56064,11250,51505,3623,4985,34208,8689,45114,6870,13827,21856,2561
Reading,79852,7615,12571,50301,9365,43186,2567,3515,30281,6823,36666,5048,9056,20020,2542
Slough,67300,5470,11520,43072,7238,37144,2109,4098,25405,5532,30156,3361,7422,17667,1706
Southampton,112608,12994,20703,65968,12943,60632,4732,5741,40137,10022,51976,8262,14962,25831,2921
West Berkshire,81679,7843,13435,47282,13119,43640,2164,2859,28595,10022,38039,5679,10576,18687,3097
Windsor and Maidenhead,73951,6709,11705,41725,13812,39677,2005,2972,24364,10336,34274,4704,8733,17361,3476
Wokingham,81377,8274,13144,47267,12692,43417,2389,2818,28555,9655,37960,5885,10326,18712,3037
Aylesbury Vale,90724,8732,16063,51349,14580,48033,2567,3850,30407,11209,42691,6165,12213,20942,3371
Chiltern,44785,5434,7950,23387,8014,23819,1484,1937,14197,6201,20966,3950,6013,9190,1813
South Bucks,33117,3230,5240,18307,6340,17798,931,1244,10724,4899,15319,2299,3996,7583,1441
Wycombe,86350,8992,15005,49054,13299,46614,2815,4087,29563,10149,39736,6177,10918,19491,3150
Eastbourne,44449,4758,9543,24874,5274,23000,1626,2643,14772,3959,21449,3132,6900,10102,1315
Hastings,40671,3926,9193,22831,4721,21034,1273,2574,13596,3591,19637,2653,6619,9235,1130
Lewes,45532,5203,9918,24255,6156,23693,1594,2665,14725,4709,21839,3609,7253,9530,1447
Rother,37583,4344,8240,19179,5820,19827,1339,2251,11732,4505,17756,3005,5989,7447,1315
Wealden,71084,8581,14444,36456,11603,37600,2355,3489,22657,9099,33484,6226,10955,13799,2504
Basingstoke and Deane,90122,7978,14361,55288,12495,47831,2261,2999,32887,9684,42291,5717,11362,22401,2811
East Hampshire,58457,6519,10628,31740,9570,31065,1740,2378,19538,7409,27392,4779,8250,12202,2161
Eastleigh,65768,6507,12563,38030,8668,34313,1848,2518,23159,6788,31455,4659,10045,14871,1880
Fareham,56445,5700,10735,32302,7708,29604,1586,2143,19839,6036,26841,4114,8592,12463,1672
Gosport,40063,3484,7373,24092,5114,21343,982,1517,14787,4057,18720,2502,5856,9305,1057
Hart,48047,4973,7821,26942,8311,26001,1301,1590,16613,6497,22046,3672,6231,10329,1814
Havant,55555,5595,11383,31449,7128,29179,1603,2506,19422,5648,26376,3992,8877,12027,1480
New Forest,82993,9975,17045,44181,11792,43254,2730,3950,27335,9239,39739,7245,13095,16846,2553
Rushmoor,51087,4229,8063,31766,7029,27487,1242,1774,18897,5574,23600,2987,6289,12869,1455
Test Valley,59611,6209,10735,33465,9202,31602,1720,2282,20332,7268,28009,4489,8453,13133,1934
Winchester,57318,7309,10491,29583,9935,30063,2086,2505,17899,7573,27255,5223,7986,11684,2362
Ashford,57546,5919,10992,31824,8811,30334,1698,2518,19198,6920,27212,4221,8474,12626,1891
Canterbury,65620,8958,13676,33519,9467,33751,3027,3670,19947,7107,31869,5931,10006,13572,2360
Dartford,49611,4205,8482,30301,6623,26308,1163,1944,17972,5229,23303,3042,6538,12329,1394
Dover,50396,5025,10544,27821,7006,26602,1529,2744,16906,5423,23794,3496,7800,10915,1583
Gravesham,47639,4559,9097,27296,6687,25589,1249,2167,16819,5354,22050,3310,6930,10477,1333
Maidstone,78090,7706,14279,43789,12316,41797,2214,3312,26514,9757,36293,5492,10967,17275,2559
Sevenoaks,56015,6150,10174,29704,9987,29941,1590,2456,18009,7886,26074,4560,7718,11695,2101
Shepway,48280,4864,10016,26520,6880,25704,1527,2557,16177,5443,22576,3337,7459,10343,1437
Swale,62810,6010,11778,35441,9581,33604,1571,2681,21632,7720,29206,4439,9097,13809,1861
Thanet,55200,5560,12568,30228,6844,28293,1847,3365,17952,5129,26907,3713,9203,12276,1715
Tonbridge and Malling,59993,6201,11083,33176,9533,31691,1672,2399,19987,7633,28302,4529,8684,13189,1900
Tunbridge Wells,57234,5958,10293,31264,9719,30865,1641,2636,18995,7593,26369,4317,7657,12269,2126
Cherwell,74829,6853,13311,43981,10684,39567,1983,2814,26506,8264,35262,4870,10497,17475,2420
Oxford,69807,8049,12267,40184,9307,36187,3223,3770,22824,6370,33620,4826,8497,17360,2937
South Oxfordshire,70087,7152,12252,39517,11166,37187,2000,2720,23998,8469,32900,5152,9532,15519,2697
Vale of White Horse,63181,6012,11104,36689,9376,33743,1755,2426,22404,7158,29438,4257,8678,14285,2218
West Oxfordshire,56515,5452,9768,32351,8944,29919,1508,1956,19567,6888,26596,3944,7812,12784,2056
Elmbridge,64730,6474,10465,34267,13524,34706,1805,2520,20053,10328,30024,4669,7945,14214,3196
Epsom and Ewell,38005,3979,6677,21691,5658,19954,1143,1604,12851,4356,18051,2836,5073,8840,1302
Guildford,70021,8222,11523,38674,11602,37615,2458,2762,23453,8942,32406,5764,8761,15221,2660
Mole Valley,42422,4802,7685,22730,7205,22571,1303,1835,13877,5556,19851,3499,5850,8853,1649
Reigate and Banstead,71236,6787,12019,41301,11129,37728,1938,2895,24378,8517,33508,4849,9124,16923,2612
Runnymede,40651,4484,6718,22964,6485,21477,1349,1698,13503,4927,19174,3135,5020,9461,1558
Spelthorne,50161,4278,8251,30880,6752,26489,1298,1902,18206,5083,23672,2980,6349,12674,1669
Surrey Heath,44968,4487,7561,25306,7614,24164,1293,1792,15132,5947,20804,3194,5769,10174,1667
Tandridge,41813,4359,7303,23040,7111,21975,1220,1690,13610,5455,19838,3139,5613,9430,1656
Waverley,59178,7034,10632,30875,10637,31643,1911,2453,19027,8252,27535,5123,8179,11848,2385
Woking,51341,4878,8230,30103,8130,28025,1480,2161,18100,6284,23316,3398,6069,12003,1846
Adur,29356,2986,6340,16602,3428,15301,900,1575,10158,2668,14055,2086,4765,6444,760
Arun,67443,7429,14018,37119,8877,34913,2205,3570,22290,6848,32530,5224,10448,14829,2029
Chichester,53285,6703,10619,27171,8792,27815,1937,2699,16449,6730,25470,4766,7920,10722,2062
Crawley,55466,4573,9684,35078,6131,29560,1425,2504,20890,4741,25906,3148,7180,14188,1390
Horsham,66299,7634,12263,35840,10562,34830,2059,2728,21948,8095,31469,5575,9535,13892,2467
Mid Sussex,72229,7643,13549,40343,10694,38103,2124,3013,24667,8299,34126,5519,10536,15676,2395
Worthing,50611,5210,10129,29243,6029,26218,1600,2475,17599,4544,24393,3610,7654,11644,1485
Bath and North East Somerset,84858,10836,17319,45652,11051,44083,3282,4183,28225,8393,40775,7554,13136,17427,2658
Bournemouth,89186,9815,17617,51165,10589,47594,3544,5112,30758,8180,41592,6271,12505,20407,2409
"Bristol, City of",209995,21333,39767,126250,22645,110813,7193,11087,75850,16683,99182,14140,28680,50400,5962
Cornwall,244527,26426,56519,127948,33634,127776,7927,15037,79381,25431,116751,18499,41482,48567,8203
Isles of Scilly,1311,93,229,745,244,694,26,63,445,160,617,67,166,300,84
North Somerset,97563,10516,20281,53501,13265,51037,3059,4473,33066,10439,46526,7457,15808,20435,2826
Plymouth,117466,12119,25747,66730,12870,61712,3933,6136,41442,10201,55754,8186,19611,25288,2669
Poole,71709,7489,14262,40868,9090,38189,2247,3353,25355,7234,33520,5242,10909,15513,1856
South Gloucestershire,136531,14081,26827,79877,15746,72052,3750,5192,50426,12684,64479,10331,21635,29451,3062
Swindon,109499,9044,18995,69787,11673,59034,2733,4173,42889,9239,50465,6311,14822,26898,2434
Torbay,56912,5710,13728,30781,6693,29353,1863,3739,18717,5034,27559,3847,9989,12064,1659
Wiltshire,239216,24274,44491,132635,37816,128455,6700,9751,81830,30174,110761,17574,34740,50805,7642
East Devon,59908,7045,13520,30304,9039,31355,2081,3466,18740,7068,28553,4964,10054,11564,1971
Exeter,57139,6861,12094,32286,5898,29331,2318,3120,19416,4477,27808,4543,8974,12870,1421
Mid Devon,38508,4072,8042,20216,6178,20226,1102,1854,12420,4850,18282,2970,6188,7796,1328
North Devon,44754,4823,10178,23096,6657,23675,1464,2593,14529,5089,21079,3359,7585,8567,1568
South Hams,39999,4841,9006,19675,6477,20817,1377,2352,12076,5012,19182,3464,6654,7599,1465
Teignbridge,58962,6587,13061,31183,8131,30456,1978,3306,18972,6200,28506,4609,9755,12211,1931
Torridge,29402,3298,6689,14757,4658,15550,876,1715,9315,3644,13852,2422,4974,5442,1014
West Devon,25241,3043,5509,12144,4545,13105,905,1424,7393,3383,12136,2138,4085,4751,1162
Christchurch,20301,2379,4536,10881,2505,10666,716,1146,6833,1971,9635,1663,3390,4048,534
East Dorset,40050,5085,8277,20735,5953,21088,1407,1850,13073,4758,18962,3678,6427,7662,1195
North Dorset,33432,3575,6367,17689,5801,18230,928,1398,11301,4603,15202,2647,4969,6388,1198
Purbeck,21419,2510,4549,11187,3173,11462,699,1115,7124,2524,9957,1811,3434,4063,649
West Dorset,45714,5554,10018,23278,6864,23910,1606,2551,14495,5258,21804,3948,7467,8783,1606
Weymouth and Portland,29987,3128,7119,16235,3505,15874,994,1949,10238,2693,14113,2134,5170,5997,812
Cheltenham,59183,6017,10967,35130,7069,31276,1949,2841,21329,5157,27907,4068,8126,13801,1912
Cotswold,41529,4995,7887,21363,7284,21988,1323,1903,13181,5581,19541,3672,5984,8182,1703
Forest of Dean,39068,4281,7946,21257,5584,20801,1140,1796,13446,4419,18267,3141,6150,7811,1165
Gloucester,61374,5501,12479,37214,6180,32162,1716,2726,22825,4895,29212,3785,9753,14389,1285
Stroud,57342,6433,11609,31518,7782,30419,1824,2603,19978,6014,26923,4609,9006,11540,1768
Tewkesbury,41544,4113,7983,23936,5512,21884,1140,1701,14735,4308,19660,2973,6282,9201,1204
Mendip,53845,6142,11649,27621,8433,28097,1671,2763,17040,6623,25748,4471,8886,10581,1810
Sedgemoor,54540,5839,11544,29686,7471,28870,1653,2621,18705,5891,25670,4186,8923,10981,1580
South Somerset,78771,8209,16094,43608,10860,42308,2354,3463,27929,8562,36463,5855,12631,15679,2298
Taunton Deane,54244,5414,11631,29882,7317,28004,1636,2644,18032,5692,26240,3778,8987,11850,1625
West Somerset,15355,1688,3510,7782,2375,8055,498,1056,4779,1722,7300,1190,2454,3003,653
Anglesey,30431,2772,6374,17412,3873,16061,832,1640,10528,3061,14370,1940,4734,6884,812
Gwynedd,53961,5791,11670,29345,7155,28391,1876,3283,17692,5540,25570,3915,8387,11653,1615
Conwy,50093,4659,11559,27261,6614,25780,1603,3271,15833,5073,24313,3056,8288,11428,1541
Denbighshire,41156,3641,8980,23169,5366,21194,1219,2393,13368,4214,19962,2422,6587,9801,1152
Flintshire,74049,6618,14821,44653,7957,38941,1958,3208,27443,6332,35108,4660,11613,17210,1625
Wrexham,63614,5440,13202,37826,7146,33532,1597,3026,23123,5786,30082,3843,10176,14703,1360
Powys,63653,6154,13120,32577,11802,33893,1811,3252,19545,9285,29760,4343,9868,13032,2517
Ceredigion,32446,4011,6762,16329,5344,17127,1446,2034,9667,3980,15319,2565,4728,6662,1364
Pembrokeshire,54217,5486,12430,27735,8566,28642,1645,3058,17317,6622,25575,3841,9372,10418,1944
Carmarthenshire,80680,6932,17204,44798,11746,41938,2248,4486,26279,8925,38742,4684,12718,18519,2821
Swansea,102793,10618,23454,58644,10077,53508,3734,6504,35336,7934,49285,6884,16950,23308,2143
Neath Port Talbot,58980,4688,12659,36034,5599,31033,1445,2736,22351,4501,27947,3243,9923,13683,1098
Bridgend,61259,5029,12918,36822,6490,32157,1532,3031,22406,5188,29102,3497,9887,14416,1302
The Vale of Glamorgan,58978,5358,12312,33652,7656,30655,1687,2976,19965,6027,28323,3671,9336,13687,1629
Cardiff,159614,16612,31279,94722,17001,82702,6068,9336,54706,12592,76912,10544,21943,40016,4409
"Rhondda, Cynon, Taff",99327,8196,20736,61047,9348,51755,2520,4730,36955,7550,47572,5676,16006,24092,1798
Merthyr Tydfil,25099,1921,5198,15662,2318,13036,632,1274,9269,1861,12063,1289,3924,6393,457
Caerphilly,77488,5815,15097,49005,7571,40618,1752,3503,29320,6043,36870,4063,11594,19685,1528
Blaenau Gwent,28291,2134,5849,17820,2488,14866,695,1412,10715,2044,13425,1439,4437,7105,444
Torfaen,40261,3264,8280,24940,3777,20858,993,1853,15001,3011,19403,2271,6427,9939,766
Monmouthshire,42817,4240,8459,23344,6774,22640,1291,2014,14096,5239,20177,2949,6445,9248,1535
Newport,64408,5681,14150,37808,6769,33633,1870,3647,22755,5361,30775,3811,10503,15053,1408
